locationId,providerId,locationName,registrationStatus,registrationDate,addressLine1,town,postcode,region,localAuthority,constituency,latitude,longitude,phoneNumber,regulatedActivities,gacServiceTypes,overallRating,overallRatingDate,numberOfBeds,website
1-12670322150,1-12365487705,Safe Habitation Private Ltd,Registered,01/04/2022,56 Milton Road,Gillingham,ME7 5LN,South East,Medway,Gillingham and Rainham,51.3777927,0.5478966,,Personal care,Homecare agencies; Supported living,,,0,
1-12673575419,1-10575182323,Enspíra Ltd,Registered,01/03/2022,68 Pinewood Place,Dartford,DA2 7WQ,South East,Kent,Dartford,51.4332216,0.1769249,7815602803,Personal care,Homecare agencies,,,0,
1-126771099,1-101720227,Home Service Complete Care LLP,Registered,10/12/2010,102 Canterbury Road,Herne Bay,CT6 5SE,South East,Kent,Herne Bay and Sandwich,51.3670998,1.132209,1227362312,Personal care,Homecare agencies,Good,22/05/2019,0,
1-12700285289,1-12435124186,Independent Care Solutions T/A Agacia Care Ltd,Registered,21/03/2022,"Unit 6, Verralls Business Centre",Cranbrook,TN17 2AF,South East,Kent,Weald of Kent,51.1184076,0.5552367,1580388200,Personal care,Homecare agencies,Good,02/08/2023,0,www.brightstarcare.uk
1-12752280719,1-11314366232,City Support Limited,Registered,14/03/2022,53 Lansbury Crescent,Dartford,DA1 5DQ,South East,Kent,Dartford,51.4502658,0.2310886,7735348038,Personal care,Homecare agencies,,,0,www.citysupports.co.uk
1-12753220976,1-11272183887,Thrive Homecare,Registered,18/05/2022,Studio 53 Fruitworks Co-Working 1-2 Jewry Lane,Canterbury,CT1 2NP,South East,Kent,Canterbury,51.278743,1.0782214,1303764576,Personal care,Homecare agencies,,,0,
1-12854570760,1-12612447328,Hever Care Limited,Registered,30/03/2022,"1st Floor, Suite 11, Lonsdale Gate",Tunbridge Wells,TN1 1NU,South East,Kent,Tunbridge Wells,51.1309063,0.2622843,1732207944,Personal care,Homecare agencies,Good,11/07/2023,0,www.hevercare.co.uk/
1-128976339,1-101618185,Hale Place Farmhouse,Registered,07/01/2011,79 Old Road,Tonbridge,TN12 5EN,South East,Kent,Tonbridge,51.2124974,0.3919303,1622871081,Personal care; Accommodation for persons who require nursing or personal care,Residential homes; Homecare agencies,Outstanding,11/11/2017,13,www.haleplace.co.uk
1-12898793184,1-12649396997,Rosemont Care Medway,Registered,20/06/2022,Regent House,Strood,ME2 4WQ,South East,Medway,Rochester and Strood,51.3963367,0.4987784,1634717432,Personal care,Homecare agencies; Supported living,Requires improvement,22/12/2021,0,www.rosemontcare.co.uk
1-12925780008,1-6686661304,Moniks Care Services Limited,Registered,17/06/2022,"BizNiz Point, Crown House",Dartford,DA1 1DZ,South East,Kent,Dartford,51.446074,0.220207,7904995201,Personal care,Homecare agencies; Supported living,,,0,www.monikscarerservice.com
